Flow_ID,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Duration,Total_Fwd_Pkts,Total_Bwd_Pkts,Total_Pkts,F1_PacketRate_RAW,F2_SynRatio_RAW,F3_DistinctPorts_RAW,F4_PayloadLen_RAW,F5_FailRate_RAW,F6_ContextScore_RAW
192.168.234.155-192.168.234.1-49416-80-6,192.168.234.155,192.168.234.1,49416,80,TCP,0.131559,5,3,8,60.8092,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49420-80-6,192.168.234.155,192.168.234.1,49420,80,TCP,0.131523,5,3,8,60.8259,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49428-80-6,192.168.234.155,192.168.234.1,49428,80,TCP,0.131351,5,3,8,60.9055,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49444-80-6,192.168.234.155,192.168.234.1,49444,80,TCP,0.131271,5,3,8,60.9427,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49456-80-6,192.168.234.155,192.168.234.1,49456,80,TCP,0.131288,5,3,8,60.9347,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49470-80-6,192.168.234.155,192.168.234.1,49470,80,TCP,0.131347,5,3,8,60.9074,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49484-80-6,192.168.234.155,192.168.234.1,49484,80,TCP,0.131394,5,3,8,60.8856,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49492-80-6,192.168.234.155,192.168.234.1,49492,80,TCP,0.129883,5,3,8,61.5940,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49496-80-6,192.168.234.155,192.168.234.1,49496,80,TCP,0.126147,5,3,8,63.4181,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49502-80-6,192.168.234.155,192.168.234.1,49502,80,TCP,0.125987,5,3,8,63.4987,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49508-80-6,192.168.234.155,192.168.234.1,49508,80,TCP,0.126027,5,3,8,63.4785,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49522-80-6,192.168.234.155,192.168.234.1,49522,80,TCP,0.125834,5,3,8,63.5758,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49524-80-6,192.168.234.155,192.168.234.1,49524,80,TCP,0.125720,5,3,8,63.6335,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49530-80-6,192.168.234.155,192.168.234.1,49530,80,TCP,0.125509,5,3,8,63.7404,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49534-80-6,192.168.234.155,192.168.234.1,49534,80,TCP,0.125513,5,3,8,63.7384,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49550-80-6,192.168.234.155,192.168.234.1,49550,80,TCP,0.116993,5,3,8,68.3802,0.2000,1.0000,163.0000,0.1250,0.0000
